Title,Company,Location
Flight Operations Cost Analyst,MSC Cruises SA,Geneva
Business Analyst Commercial Finance,Vifor (International) AG,"EMEA, CH, Kanton Zurich, Opfikon, CSL Vifor"
Campaign Planner & Analyst,RSI Radiotelevisione svizzera di lingua italiana,Zürich
Business & Sustainability Analyst,Verity AG,Zurich
Cat Risk Analyst,"AXIS RE SE, Dublin, Zurich Branch",Zurich - Alfred Escher-Strasse
Business Analyst Insurance,Akros AG,Bern
Senior FP&A Analyst (m/f/d),SkyCell AG,Zürich
Business Analyst Public,Akros AG,Bern
Business Analyst Public,Akros AG,Zürich
Business Intelligence Analyst (m/f/d),SkyCell AG,Zürich
Business Analyst Public,Akros AG,Luzern
Business Analyst Public,Akros AG,Biel/Bienne
Business Analyst Utilities 60-100%,Eraneos Switzerland AG,Zurich
Technical Web Analyst 80-100% (f/m/x),comparis.ch AG,Zürich
IT Business Analyst SCM,SR Technics Switzerland AG,Zürich
"Types de métiers Crédit Agricole S.A. - IT, Digital et Data",CA Indosuez (Switzerland) SA,Geneva
No title available,No company available,No location available
No title available,TD SYNNEX Switzerland GmbH,"Rotkreuz, Switzerland"
Operational Risk & Reporting Analyst,Saxo Bank (Schweiz) AG,Zurich
Accounting & Financial Reporting Analyst,MSC Cruises SA,Geneva
No title available,No company available,No location available
Junior Consultant/ Analyst 60-100%,TopPharm Apotheke & Drogerie Heumoos,Münchenstein
Business Analyst / Consultant (m/w),BSgroup Financial Solutions AG,Zürich
Senior Business Analyst E-Government Projekte,queo swiss AG,Solothurn
Business Analyst – Management Office,LGT Capital Partners AG,Pfaeffikon (Schuetzenstrasse)
Technical Research Analyst - Consumables,Belimed Life Science AG,Zug
Associate Analyst International Logistics (m/w/d),Vifor (International) AG,"EMEA, CH, Kanton St. Gallen, St. Gallen, CSL Vifor"
Biostatistiker:in / Daten Analyst 60 %,Universität Bern,Liebefeld
Business Analyst / Requirements-Engineer Finanzieren (m/w),BSgroup Financial Solutions AG,Zürich
Data Specialist,lastminute.com group,Chiasso
Business Analyst (ERP + EDI) (m/w/d) 80-100%,"Senn Transport, Zweigniederlassung der Planzer Transport AG",Regensdorf
ESG Analyst / Portfolio Manager (100 %),Maerki Baumann & Co. AG,Zürich
Credit Research Analyst for Emerging Markets,Banque Lombard Odier & Cie SA,Geneva
Systems Engineer / Analyst Background,Beyond Gravity Schweiz AG,Zürich
PSS Analyst - THE NORTH FACE,VF International Sagl,EMEA &gt; CHE &gt; Stabio &gt; VF Campus VF1
Business Analyst - Finance and Accounting (50-60%),Banque Lombard Odier & Cie SA,Geneva
Laboratory Execution Systems - IT Lab Support Analyst,Vifor (International) AG,"EMEA, CH, Kanton Bern, Bern, CSL Behring"
Marketing Business Analyst · 80% – 100%,Genossenschaft Migros Wallis,Martigny
No title available,No company available,No location available
No title available,Viking River Cruises AG,
Business Analyst Microsoft Dynamics D365 | Join our Talent Community,Dentsu International Switzerland AG,Geneva - 20 Quai Ernest - Ansermet
IT Security Analyst / Penetration Tester (m/w/d),Compass Security Schweiz AG,Basel
No title available,No company available,No location available
Security Analyst 80 - 100 % | terreActive,terreActive AG,Aarau
Analyst im Bereich Versicherungen (all genders),Accenture,Zürich
"(Senior) Business Analyst Öffentliche Verwaltung 60-100% ""all genders""",Eraneos Switzerland AG,Zurich
Security Analyst 80 - 100 % | terreActive,terreActive AG,Aarau
Business Analyst / Requirements-Engineer Front Banking / Kundenschnittstelle (m/w),BSgroup Financial Solutions AG,Zürich
"Cash & Treasury Operations Analyst 2 in Horsham, England, United Kingdom",Schroders Capital Management (Switzerland) AG,St. Gallen
Professional - Senior Business Informatics Analyst 80 - 100% (Life Sciences),wega Informatik AG,hamburg
